Order_ID,Date,Time,Restaurant,Food_Item,Order_Amount,Discount_Percentage,Revenue,Delivery_Time_Minutes,Payment_Method,Delivery_Status,Month,Day_Name,Year,Revenue_Category
ZOMED120EBE,2026-04-06,02:39,KFC,Noodles,1321.76,39,806.27,52,Cash,Delivered,4,Monday,2026,High
ZOM8A3EF30C,2026-04-15,20:16,Cafe Coffee Day,Sandwich,754.21,0,754.21,58,Wallet,Delivered,4,Wednesday,2026,High
ZOM8ED91940,2026-04-03,14:22,Biryani House,Sandwich,1482.96,19,1201.2,44,Credit Card,Delivered,4,Friday,2026,Very High
ZOME4F95416,2026-04-13,15:06,Pizza Hut,Paneer Tikka,447.34,36,286.3,33,Credit Card,Delivered,4,Monday,2026,Medium
ZOM2D2795CD,2026-04-27,21:25,Domino's,Paneer Tikka,498.78,36,319.22,62,Debit Card,Cancelled,4,Monday,2026,Medium
ZOM475E3C4B,2026-04-25,07:38,KFC,Paneer Tikka,1226.67,14,1054.94,31,Cash,Delayed,4,Saturday,2026,Very High
ZOM7C64B828,2026-04-04,20:41,Domino's,Paneer Tikka,174.4,28,125.57,38,Cash,Delivered,4,Saturday,2026,Low
ZOMA24F413E,2026-04-30,09:20,KFC,Biryani,1151.52,11,1024.85,65,Wallet,Cancelled,4,Thursday,2026,Very High
ZOM7164AD1D,2026-04-17,16:58,Subway,Noodles,496.09,10,446.48,66,Credit Card,Delayed,4,Friday,2026,Medium
ZOM8A3E81B9,2026-04-28,10:51,Burger King,Pasta,278.93,4,267.77,70,Debit Card,Delayed,4,Tuesday,2026,Medium
ZOM98C9283D,2026-04-12,02:50,Barbeque Nation,Burger,664.51,16,558.19,44,Credit Card,Delayed,4,Sunday,2026,High
ZOM9B6CD858,2026-04-24,21:16,Pizza Hut,Burger,926.69,40,556.01,58,Cash,Cancelled,4,Friday,2026,High
ZOM16AD41DE,2026-04-01,19:56,Haldiram's,Pasta,1421.57,20,1137.26,56,Upi,Delayed,4,Wednesday,2026,Very High
ZOM108BD4E1,2026-04-27,14:58,McDonald's,Biryani,1087.49,26,804.74,17,Upi,Cancelled,4,Monday,2026,High
ZOM3984DE9E,2026-04-16,03:06,Burger King,Coffee,444.02,34,293.05,44,Credit Card,Delayed,4,Thursday,2026,Medium
ZOMF8CE9A69,2026-04-24,22:34,Biryani House,Burger,698.39,9,635.53,68,Debit Card,Delayed,4,Friday,2026,High
ZOMD705443A,2026-04-14,08:02,Cafe Coffee Day,Noodles,1072.59,13,933.15,30,Credit Card,Delivered,4,Tuesday,2026,High
ZOM81C514DD,2026-04-22,11:34,Domino's,Coffee,1364.34,22,1064.19,32,Cash,Delivered,4,Wednesday,2026,Very High
ZOM8EFD56ED,2026-04-28,14:05,Haldiram's,Pizza,1034.62,40,620.77,18,Credit Card,Delivered,4,Tuesday,2026,High
ZOM7238F748,2026-04-05,18:13,KFC,Paneer Tikka,214.68,35,139.54,28,Cash,Cancelled,4,Sunday,2026,Low
ZOM352D4BC1,2026-04-25,04:50,Subway,Biryani,1362.73,0,1362.73,23,Wallet,Cancelled,4,Saturday,2026,Very High
ZOME349108F,2026-04-26,05:07,Burger King,Pizza,1032.26,1,1021.94,37,Cash,Delayed,4,Sunday,2026,Very High
ZOM885E7797,2026-04-11,00:11,Biryani House,Ice Cream,486.21,8,447.31,22,Upi,Cancelled,4,Saturday,2026,Medium
ZOM10BF691E,2026-04-15,11:32,Barbeque Nation,Pasta,939.26,28,676.27,54,Upi,Delayed,4,Wednesday,2026,High
ZOM52B4A890,2026-04-26,21:33,Domino's,Noodles,536.25,1,530.89,69,Debit Card,Cancelled,4,Sunday,2026,High
ZOM2D1DEA44,2026-04-22,03:31,McDonald's,Burger,1103.11,28,794.24,35,Wallet,Delivered,4,Wednesday,2026,High
ZOM28DC429D,2026-04-03,04:17,Barbeque Nation,Fries,981.56,37,618.38,39,Wallet,Delayed,4,Friday,2026,High
ZOM4A91D9DD,2026-04-10,14:32,McDonald's,Ice Cream,955.49,6,898.16,61,Cash,Cancelled,4,Friday,2026,High
ZOM7AAAB080,2026-04-15,07:26,Biryani House,Coffee,587.73,29,417.29,61,Upi,Cancelled,4,Wednesday,2026,Medium
ZOMB37D82AD,2026-04-14,10:42,Cafe Coffee Day,Burger,471.75,9,429.29,20,Upi,Delivered,4,Tuesday,2026,Medium
ZOM074D7558,2026-04-14,03:47,Barbeque Nation,Pizza,1139.54,8,1048.38,52,Wallet,Delayed,4,Tuesday,2026,Very High
ZOM7275542D,2026-04-11,21:07,Domino's,Sandwich,686.92,27,501.45,53,Credit Card,Cancelled,4,Saturday,2026,High
ZOM7D20FE41,2026-04-04,18:32,KFC,Burger,413.58,30,289.51,37,Wallet,Cancelled,4,Saturday,2026,Medium
ZOMFA3FA13F,2026-04-04,08:36,Barbeque Nation,Paneer Tikka,432.1,27,315.43,54,Wallet,Delivered,4,Saturday,2026,Medium
ZOM8A03B820,2026-04-20,21:53,Burger King,Sandwich,1076.99,1,1066.22,59,Credit Card,Cancelled,4,Monday,2026,Very High
ZOM727102FD,2026-04-12,00:11,Biryani House,Burger,1320.41,36,845.06,24,Upi,Delivered,4,Sunday,2026,High
ZOM7A3DA2AB,2026-04-24,16:13,Pizza Hut,Biryani,639.15,29,453.8,38,Credit Card,Delayed,4,Friday,2026,Medium
ZOMDE5B4E46,2026-04-11,18:38,Burger King,Biryani,237.24,3,230.12,63,Wallet,Delivered,4,Saturday,2026,Medium
ZOM4C1C72CE,2026-04-22,02:17,Cafe Coffee Day,Paneer Tikka,731.5,27,534.0,43,Debit Card,Cancelled,4,Wednesday,2026,High
ZOMFB02F19D,2026-04-07,16:07,Subway,Paneer Tikka,596.34,7,554.6,46,Wallet,Delayed,4,Tuesday,2026,High
ZOM6146B018,2026-04-10,01:14,Domino's,Pizza,665.46,38,412.59,28,Credit Card,Delivered,4,Friday,2026,Medium
ZOMA1B0708B,2026-04-25,04:48,McDonald's,Pizza,472.62,20,378.1,46,Debit Card,Delivered,4,Saturday,2026,Medium
ZOM3D2589C2,2026-04-05,12:34,Barbeque Nation,Fries,1091.07,32,741.93,19,Debit Card,Delayed,4,Sunday,2026,High
ZOMA0416AE3,2026-04-02,13:01,Pizza Hut,Paneer Tikka,754.46,4,724.28,42,Wallet,Cancelled,4,Thursday,2026,High
ZOM945E2D78,2026-04-23,20:26,Domino's,Fries,519.53,25,389.65,25,Wallet,Cancelled,4,Thursday,2026,Medium
ZOM40FF75A3,2026-04-27,22:58,McDonald's,Pasta,619.36,27,452.13,42,Wallet,Cancelled,4,Monday,2026,Medium
ZOMDBFD1203,2026-04-17,02:25,KFC,Fries,1321.32,21,1043.84,64,Cash,Delivered,4,Friday,2026,Very High
ZOM8135DB58,2026-04-17,20:07,Pizza Hut,Fries,852.23,12,749.96,61,Cash,Delivered,4,Friday,2026,High
ZOM7F8204F2,2026-04-04,04:16,Burger King,Burger,392.24,38,243.19,26,Debit Card,Cancelled,4,Saturday,2026,Medium
ZOM592F207C,2026-04-25,18:48,Haldiram's,Fries,919.67,36,588.59,70,Credit Card,Delivered,4,Saturday,2026,High
ZOMBFF0DB77,2026-04-15,02:30,Subway,Paneer Tikka,730.25,19,591.5,18,Credit Card,Delayed,4,Wednesday,2026,High
ZOM312F47A7,2026-04-03,09:29,Pizza Hut,Sandwich,743.64,3,721.33,19,Upi,Delayed,4,Friday,2026,High
ZOM3387FF6F,2026-04-20,16:24,Domino's,Noodles,758.54,35,493.05,66,Wallet,Delayed,4,Monday,2026,Medium
ZOM74B68A98,2026-04-07,10:38,Domino's,Noodles,776.37,9,706.5,21,Credit Card,Delayed,4,Tuesday,2026,High
ZOM4B2BD532,2026-04-03,16:41,Cafe Coffee Day,Noodles,358.13,15,304.41,48,Wallet,Delayed,4,Friday,2026,Medium
ZOMDF5C6F51,2026-04-06,11:23,Biryani House,Fries,1386.75,24,1053.93,58,Wallet,Delivered,4,Monday,2026,Very High
ZOM54E633F7,2026-04-26,20:41,McDonald's,Ice Cream,581.82,21,459.64,58,Debit Card,Cancelled,4,Sunday,2026,Medium
ZOMDEED7FDD,2026-04-09,23:54,Burger King,Fries,1026.06,38,636.16,20,Wallet,Delayed,4,Thursday,2026,High
ZOM3F014CFE,2026-04-05,11:19,Burger King,Paneer Tikka,1455.42,25,1091.57,60,Upi,Cancelled,4,Sunday,2026,Very High
ZOMDBF0B4D7,2026-04-18,12:41,Barbeque Nation,Burger,1212.49,8,1115.49,56,Debit Card,Delayed,4,Saturday,2026,Very High
ZOME6B4674E,2026-04-12,00:23,Pizza Hut,Noodles,546.24,13,475.23,27,Cash,Delivered,4,Sunday,2026,Medium
ZOM781ACBC5,2026-04-05,02:18,Barbeque Nation,Ice Cream,1285.31,6,1208.19,68,Wallet,Delivered,4,Sunday,2026,Very High
ZOMBBFE179F,2026-04-22,10:56,Haldiram's,Coffee,1177.5,8,1083.3,24,Cash,Delivered,4,Wednesday,2026,Very High
ZOM5F45EBA4,2026-04-27,22:49,Cafe Coffee Day,Pizza,982.14,10,883.93,41,Credit Card,Delayed,4,Monday,2026,High
ZOM8B66935E,2026-04-24,07:28,KFC,Ice Cream,962.62,28,693.09,30,Credit Card,Cancelled,4,Friday,2026,High
ZOMAF9B64BA,2026-04-29,06:23,Cafe Coffee Day,Noodles,1056.06,36,675.88,64,Credit Card,Cancelled,4,Wednesday,2026,High
ZOM123C5051,2026-04-17,16:26,Haldiram's,Biryani,1453.45,12,1279.04,70,Credit Card,Delivered,4,Friday,2026,Very High
ZOM7669BE29,2026-04-21,15:55,Barbeque Nation,Burger,632.27,6,594.33,33,Upi,Delivered,4,Tuesday,2026,High
ZOM8ADEC1D0,2026-04-09,14:57,McDonald's,Pasta,828.43,27,604.75,67,Debit Card,Cancelled,4,Thursday,2026,High
ZOM5E82DB06,2026-04-30,00:26,Pizza Hut,Pasta,193.49,32,131.57,39,Upi,Cancelled,4,Thursday,2026,Low
ZOM9C11776F,2026-04-08,00:20,Burger King,Biryani,1404.54,21,1109.59,17,Credit Card,Cancelled,4,Wednesday,2026,Very High
ZOM24670086,2026-04-23,04:48,Haldiram's,Pizza,1093.64,28,787.42,20,Upi,Cancelled,4,Thursday,2026,High
ZOM54324150,2026-04-07,04:35,Barbeque Nation,Coffee,1417.51,38,878.86,22,Credit Card,Delivered,4,Tuesday,2026,High
ZOM75EBEB43,2026-04-10,03:03,Haldiram's,Noodles,449.05,40,269.43,19,Upi,Cancelled,4,Friday,2026,Medium
ZOMEC9F71E4,2026-04-20,17:01,KFC,Biryani,992.1,36,634.94,33,Debit Card,Delivered,4,Monday,2026,High
ZOME43FD894,2026-04-20,11:15,McDonald's,Ice Cream,907.52,11,807.69,38,Upi,Delayed,4,Monday,2026,High
