Order_ID,Date,Time,Restaurant_Name,Food_Item,Order_Amount,Discount_Percentage,Final_Amount,Delivery_Time_Minutes,Payment_Method,Delivery_Status
ZOMFACC5536,29-04-2026,11:13,Pizza Hut,Ice Cream,1061.25,6,997.57,70,Debit Card,Delayed
ZOM394BF46B,24-04-2026,04:59,Burger King,Coffee,1403.24,10,1262.92,16,Cash,Delayed
ZOM30E47B93,30-04-2026,10:50,Subway,Biryani,1404.53,15,1193.85,65,UPI,Cancelled
ZOM53D6D68F,28-04-2026,01:54,Cafe Coffee Day,Fries,769.55,12,677.2,34,Cash,Delivered
ZOM70B2C3EC,01-04-2026,21:12,McDonald's,Sandwich,669.88,17,556,37,Wallet,Cancelled
ZOM069EAD40,22-04-2026,17:21,Subway,Biryani,1416.15,7,1317.02,52,Credit Card,Delivered
ZOM3C2480C5,04-04-2026,19:27,Biryani House,Paneer Tikka,597.05,20,477.64,47,UPI,Cancelled
ZOMA79DD4DA,29-04-2026,18:12,Domino's,Ice Cream,471.52,27,344.21,66,Wallet,Delayed
ZOM2EFDD8E9,24-04-2026,23:47,Biryani House,Burger,1045.47,23,805.01,57,Credit Card,Delayed
ZOM4415F570,11-04-2026,21:54,Barbeque Nation,Sandwich,291.98,19,236.5,57,Debit Card,Cancelled
ZOM06B90366,13-04-2026,22:18,Biryani House,Coffee,885.09,12,778.88,58,Cash,Delayed
ZOMBB077527,19-04-2026,09:25,Subway,Sandwich,876.15,0,876.15,28,Debit Card,Delayed
ZOMECD2B86A,20-04-2026,20:20,KFC,Ice Cream,761.68,28,548.41,45,Cash,Delayed
ZOM5480A1CF,03-04-2026,09:32,Pizza Hut,Burger,1036.12,39,632.03,67,Cash,Delayed
ZOM229461F7,10-04-2026,07:51,Domino's,Pasta,394.8,1,390.85,45,Wallet,Delivered
ZOM32E2963E,15-04-2026,13:56,Biryani House,Noodles,989.08,12,870.39,40,Cash,Delivered
ZOM47E20DE3,21-04-2026,22:00,Biryani House,Pasta,1351.87,6,1270.76,26,Wallet,Cancelled
ZOM20EA6228,02-04-2026,17:15,Cafe Coffee Day,Biryani,1386.11,7,1289.08,66,Debit Card,Delayed
ZOMCC11105D,17-04-2026,17:38,Haldiram's,Ice Cream,557.87,28,401.67,42,Wallet,Cancelled
ZOMDC400968,29-04-2026,05:47,Subway,Pasta,1308.86,28,942.38,68,Credit Card,Delayed
ZOM903ADFED,16-04-2026,20:15,Subway,Pasta,498.94,4,478.98,32,Credit Card,Cancelled
ZOM2A2CC0FC,29-04-2026,17:05,Biryani House,Biryani,310.96,14,267.43,60,Cash,Delivered
ZOM48EE329D,14-04-2026,13:21,Domino's,Pasta,868.8,26,642.91,68,Debit Card,Cancelled
ZOMF1D76777,29-04-2026,18:44,Biryani House,Noodles,146.95,36,94.05,15,Credit Card,Cancelled
ZOM67C74F94,25-04-2026,12:54,Barbeque Nation,Ice Cream,1350.47,26,999.35,66,Wallet,Delivered
ZOMCD019C10,16-04-2026,07:17,Biryani House,Fries,721.45,1,714.24,57,Debit Card,Delayed
ZOM2F5A9930,06-04-2026,14:58,Barbeque Nation,Pizza,296.13,39,180.64,40,Wallet,Delayed
ZOMFA708C2B,22-04-2026,00:05,Cafe Coffee Day,Biryani,1006.99,8,926.43,18,Credit Card,Cancelled
ZOMCCD486FA,11-04-2026,06:29,Subway,Coffee,571.05,24,434,31,UPI,Cancelled
ZOMECDA622D,01-04-2026,23:34,KFC,Burger,191.88,22,149.67,64,UPI,Delivered
ZOM2DCAF648,08-04-2026,06:53,KFC,Biryani,148.12,9,134.79,45,UPI,Delayed
ZOMEC1C6305,07-04-2026,14:44,Burger King,Paneer Tikka,473.62,23,364.69,53,UPI,Delivered
ZOM924B1C3C,10-04-2026,03:37,Haldiram's,Coffee,155.44,19,125.91,40,Cash,Delivered
ZOMF70035ED,19-04-2026,22:53,Subway,Paneer Tikka,985.59,6,926.45,66,UPI,Delayed
ZOM242F1B33,26-04-2026,01:22,McDonald's,Ice Cream,855.19,23,658.5,56,Credit Card,Delivered
ZOMB1AEDD55,28-04-2026,13:52,Pizza Hut,Noodles,796.48,27,581.43,60,Cash,Cancelled
ZOM2048CD39,06-04-2026,23:33,Haldiram's,Ice Cream,1452.35,17,1205.45,64,Debit Card,Cancelled
ZOMF2FD99D4,14-04-2026,23:37,McDonald's,Sandwich,490.39,15,416.83,43,Cash,Cancelled
ZOM2F35E0A7,19-04-2026,19:42,Cafe Coffee Day,Fries,643.01,1,636.58,26,Debit Card,Delivered
ZOM54E3EA36,12-04-2026,08:21,Subway,Ice Cream,505.93,38,313.68,15,Wallet,Delivered
ZOME64A910F,03-04-2026,07:46,KFC,Noodles,680.87,35,442.57,56,Debit Card,Cancelled
ZOM8E869A3B,26-04-2026,00:05,KFC,Sandwich,526.05,25,394.54,57,Wallet,Cancelled
ZOM92C4B850,16-04-2026,17:33,Pizza Hut,Fries,594.39,35,386.35,59,Debit Card,Cancelled
ZOMED56C796,10-04-2026,08:14,Pizza Hut,Burger,286.51,12,252.13,62,Wallet,Delayed
ZOM91D9B633,06-04-2026,06:13,Haldiram's,Ice Cream,1139.27,17,945.59,53,Credit Card,Delivered
ZOMF717F1F0,27-04-2026,06:18,Subway,Pizza,433.93,11,386.2,60,Wallet,Delivered
ZOM2D7363B0,09-04-2026,01:03,Cafe Coffee Day,Burger,883.64,8,812.95,70,UPI,Delayed
ZOMF66BE5BC,10-04-2026,15:30,Domino's,Sandwich,727.85,11,647.79,70,Debit Card,Delivered
ZOMF78C0F4C,27-04-2026,02:25,Domino's,Biryani,798.61,36,511.11,24,Wallet,Cancelled
ZOMBB6931A6,03-04-2026,07:07,Haldiram's,Paneer Tikka,890.14,26,658.7,65,Wallet,Delivered
ZOM4EC16473,25-04-2026,16:24,Subway,Paneer Tikka,741.71,28,534.03,42,Credit Card,Delayed
ZOM7A97E7CE,20-04-2026,01:39,KFC,Pasta,1444.95,6,1358.25,31,UPI,Delivered
ZOMA972BD59,08-04-2026,05:35,Biryani House,Noodles,223.59,0,223.59,59,Wallet,Cancelled
ZOM34D6007B,10-04-2026,01:14,Cafe Coffee Day,Burger,517.58,18,424.42,58,Cash,Cancelled
ZOM6624F76F,26-04-2026,20:37,Biryani House,Burger,1032.43,12,908.54,49,Cash,Delayed
ZOMC328DF25,05-04-2026,08:52,Burger King,Sandwich,316.29,3,306.8,53,Wallet,Cancelled
ZOMAEC4AE29,15-04-2026,03:29,Subway,Ice Cream,1070.38,25,802.79,49,Debit Card,Cancelled
ZOMD1A1A513,03-04-2026,19:02,Haldiram's,Sandwich,1347.4,20,1077.92,16,UPI,Delivered
ZOMF5B1D11C,22-04-2026,18:37,Haldiram's,Pizza,1432.09,17,1188.63,63,Cash,Cancelled
ZOM389B8AFB,17-04-2026,20:28,Haldiram's,Coffee,1384.18,11,1231.92,55,Debit Card,Delivered
ZOM22703F71,16-04-2026,11:26,Burger King,Fries,579.97,6,545.17,41,Debit Card,Cancelled
ZOM3B696AF7,22-04-2026,12:52,Cafe Coffee Day,Burger,1169.49,2,1146.1,35,Credit Card,Cancelled
ZOMA3BD0859,04-04-2026,12:55,Barbeque Nation,Noodles,830.14,0,830.14,41,UPI,Delivered
ZOM6FC3EE52,17-04-2026,11:39,Cafe Coffee Day,Pizza,1163.89,40,698.33,28,Credit Card,Delayed
ZOMCFC76DE9,05-04-2026,09:28,McDonald's,Pizza,1335.57,31,921.54,55,Wallet,Delivered
ZOM9DDE7873,23-04-2026,05:19,Biryani House,Burger,880.16,35,572.1,29,UPI,Cancelled
ZOMB8B244C8,04-04-2026,20:53,Barbeque Nation,Sandwich,332.48,18,272.63,41,Debit Card,Cancelled
ZOMDF3B4E74,08-04-2026,14:35,Haldiram's,Ice Cream,319.61,12,281.26,62,Cash,Delivered
ZOM53E8AB50,09-04-2026,13:21,Subway,Pizza,1409.26,32,958.3,33,Credit Card,Delayed
ZOMFA382EE4,19-04-2026,21:31,Barbeque Nation,Noodles,1314.06,28,946.12,37,Credit Card,Delayed
ZOM1B094ACC,25-04-2026,17:24,KFC,Pasta,748.38,20,598.7,51,Debit Card,Delivered
ZOM45BEEEC8,28-04-2026,13:02,Biryani House,Coffee,559.08,30,391.36,57,Cash,Cancelled
ZOM9FDBE7B1,02-04-2026,04:32,McDonald's,Noodles,1452.19,21,1147.23,21,Wallet,Cancelled
ZOMC3CCC199,01-04-2026,23:09,McDonald's,Noodles,685.77,9,624.05,65,Credit Card,Cancelled
ZOM7029A399,20-04-2026,22:25,Barbeque Nation,Coffee,1016.77,21,803.25,35,Debit Card,Delayed
ZOM13F546DF,02-04-2026,19:04,KFC,Burger,443.98,18,364.06,42,UPI,Delayed
ZOMA9D2BFC0,23-04-2026,03:28,Domino's,Pizza,349.58,19,283.16,35,UPI,Cancelled
ZOMBACE0C6E,12-04-2026,11:27,Biryani House,Paneer Tikka,320.89,33,215,58,Cash,Delivered
ZOMED120EBE,06-04-2026,02:39,KFC,Noodles,1321.76,39,806.27,52,Cash,Delivered
ZOM8A3EF30C,15-04-2026,20:16,Cafe Coffee Day,Sandwich,754.21,0,754.21,58,Wallet,Delivered
ZOM8ED91940,03-04-2026,14:22,Biryani House,Sandwich,1482.96,19,1201.2,44,Credit Card,Delivered
ZOME4F95416,13-04-2026,15:06,Pizza Hut,Paneer Tikka,447.34,36,286.3,33,Credit Card,Delivered
ZOM2D2795CD,27-04-2026,21:25,Domino's,Paneer Tikka,498.78,36,319.22,62,Debit Card,Cancelled
ZOM475E3C4B,25-04-2026,07:38,KFC,Paneer Tikka,1226.67,14,1054.94,31,Cash,Delayed
ZOM7C64B828,04-04-2026,20:41,Domino's,Paneer Tikka,174.4,28,125.57,38,Cash,Delivered
ZOMA24F413E,30-04-2026,09:20,KFC,Biryani,1151.52,11,1024.85,65,Wallet,Cancelled
ZOM7164AD1D,17-04-2026,16:58,Subway,Noodles,496.09,10,446.48,66,Credit Card,Delayed
ZOM8A3E81B9,28-04-2026,10:51,Burger King,Pasta,278.93,4,267.77,70,Debit Card,Delayed
ZOM98C9283D,12-04-2026,02:50,Barbeque Nation,Burger,664.51,16,558.19,44,Credit Card,Delayed
ZOM9B6CD858,24-04-2026,21:16,Pizza Hut,Burger,926.69,40,556.01,58,Cash,Cancelled
ZOM16AD41DE,01-04-2026,19:56,Haldiram's,Pasta,1421.57,20,1137.26,56,UPI,Delayed
ZOM108BD4E1,27-04-2026,14:58,McDonald's,Biryani,1087.49,26,804.74,17,UPI,Cancelled
ZOM3984DE9E,16-04-2026,03:06,Burger King,Coffee,444.02,34,293.05,44,Credit Card,Delayed
ZOMF8CE9A69,24-04-2026,22:34,Biryani House,Burger,698.39,9,635.53,68,Debit Card,Delayed
ZOMD705443A,14-04-2026,08:02,Cafe Coffee Day,Noodles,1072.59,13,933.15,30,Credit Card,Delivered
ZOM81C514DD,22-04-2026,11:34,Domino's,Coffee,1364.34,22,1064.19,32,Cash,Delivered
ZOM8EFD56ED,28-04-2026,14:05,Haldiram's,Pizza,1034.62,40,620.77,18,Credit Card,Delivered
ZOM7238F748,05-04-2026,18:13,KFC,Paneer Tikka,214.68,35,139.54,28,Cash,Cancelled
ZOM352D4BC1,25-04-2026,04:50,Subway,Biryani,1362.73,0,1362.73,23,Wallet,Cancelled
ZOME349108F,26-04-2026,05:07,Burger King,Pizza,1032.26,1,1021.94,37,Cash,Delayed
ZOM885E7797,11-04-2026,00:11,Biryani House,Ice Cream,486.21,8,447.31,22,UPI,Cancelled
ZOM10BF691E,15-04-2026,11:32,Barbeque Nation,Pasta,939.26,28,676.27,54,UPI,Delayed
ZOM52B4A890,26-04-2026,21:33,Domino's,Noodles,536.25,1,530.89,69,Debit Card,Cancelled
ZOM2D1DEA44,22-04-2026,03:31,McDonald's,Burger,1103.11,28,794.24,35,Wallet,Delivered
ZOM28DC429D,03-04-2026,04:17,Barbeque Nation,Fries,981.56,37,618.38,39,Wallet,Delayed
ZOM4A91D9DD,10-04-2026,14:32,McDonald's,Ice Cream,955.49,6,898.16,61,Cash,Cancelled
ZOM7AAAB080,15-04-2026,07:26,Biryani House,Coffee,587.73,29,417.29,61,UPI,Cancelled
ZOMB37D82AD,14-04-2026,10:42,Cafe Coffee Day,Burger,471.75,9,429.29,20,UPI,Delivered
ZOM074D7558,14-04-2026,03:47,Barbeque Nation,Pizza,1139.54,8,1048.38,52,Wallet,Delayed
ZOM7275542D,11-04-2026,21:07,Domino's,Sandwich,686.92,27,501.45,53,Credit Card,Cancelled
ZOM7D20FE41,04-04-2026,18:32,KFC,Burger,413.58,30,289.51,37,Wallet,Cancelled
ZOMFA3FA13F,04-04-2026,08:36,Barbeque Nation,Paneer Tikka,432.1,27,315.43,54,Wallet,Delivered
ZOM8A03B820,20-04-2026,21:53,Burger King,Sandwich,1076.99,1,1066.22,59,Credit Card,Cancelled
ZOM727102FD,12-04-2026,00:11,Biryani House,Burger,1320.41,36,845.06,24,UPI,Delivered
ZOM7A3DA2AB,24-04-2026,16:13,Pizza Hut,Biryani,639.15,29,453.8,38,Credit Card,Delayed
ZOMDE5B4E46,11-04-2026,18:38,Burger King,Biryani,237.24,3,230.12,63,Wallet,Delivered
ZOM4C1C72CE,22-04-2026,02:17,Cafe Coffee Day,Paneer Tikka,731.5,27,534,43,Debit Card,Cancelled
ZOMFB02F19D,07-04-2026,16:07,Subway,Paneer Tikka,596.34,7,554.6,46,Wallet,Delayed
ZOM6146B018,10-04-2026,01:14,Domino's,Pizza,665.46,38,412.59,28,Credit Card,Delivered
ZOMA1B0708B,25-04-2026,04:48,McDonald's,Pizza,472.62,20,378.1,46,Debit Card,Delivered
ZOM3D2589C2,05-04-2026,12:34,Barbeque Nation,Fries,1091.07,32,741.93,19,Debit Card,Delayed
ZOMA0416AE3,02-04-2026,13:01,Pizza Hut,Paneer Tikka,754.46,4,724.28,42,Wallet,Cancelled
ZOM945E2D78,23-04-2026,20:26,Domino's,Fries,519.53,25,389.65,25,Wallet,Cancelled
ZOM40FF75A3,27-04-2026,22:58,McDonald's,Pasta,619.36,27,452.13,42,Wallet,Cancelled
ZOMDBFD1203,17-04-2026,02:25,KFC,Fries,1321.32,21,1043.84,64,Cash,Delivered
ZOM8135DB58,17-04-2026,20:07,Pizza Hut,Fries,852.23,12,749.96,61,Cash,Delivered
ZOM7F8204F2,04-04-2026,04:16,Burger King,Burger,392.24,38,243.19,26,Debit Card,Cancelled
ZOM592F207C,25-04-2026,18:48,Haldiram's,Fries,919.67,36,588.59,70,Credit Card,Delivered
ZOMBFF0DB77,15-04-2026,02:30,Subway,Paneer Tikka,730.25,19,591.5,18,Credit Card,Delayed
ZOM312F47A7,03-04-2026,09:29,Pizza Hut,Sandwich,743.64,3,721.33,19,UPI,Delayed
ZOM3387FF6F,20-04-2026,16:24,Domino's,Noodles,758.54,35,493.05,66,Wallet,Delayed
ZOM74B68A98,07-04-2026,10:38,Domino's,Noodles,776.37,9,706.5,21,Credit Card,Delayed
ZOM4B2BD532,03-04-2026,16:41,Cafe Coffee Day,Noodles,358.13,15,304.41,48,Wallet,Delayed
ZOMDF5C6F51,06-04-2026,11:23,Biryani House,Fries,1386.75,24,1053.93,58,Wallet,Delivered
ZOM54E633F7,26-04-2026,20:41,McDonald's,Ice Cream,581.82,21,459.64,58,Debit Card,Cancelled
ZOMDEED7FDD,09-04-2026,23:54,Burger King,Fries,1026.06,38,636.16,20,Wallet,Delayed
ZOM3F014CFE,05-04-2026,11:19,Burger King,Paneer Tikka,1455.42,25,1091.57,60,UPI,Cancelled
ZOMDBF0B4D7,18-04-2026,12:41,Barbeque Nation,Burger,1212.49,8,1115.49,56,Debit Card,Delayed
ZOME6B4674E,12-04-2026,00:23,Pizza Hut,Noodles,546.24,13,475.23,27,Cash,Delivered
ZOM781ACBC5,05-04-2026,02:18,Barbeque Nation,Ice Cream,1285.31,6,1208.19,68,Wallet,Delivered
ZOMBBFE179F,22-04-2026,10:56,Haldiram's,Coffee,1177.5,8,1083.3,24,Cash,Delivered
ZOM5F45EBA4,27-04-2026,22:49,Cafe Coffee Day,Pizza,982.14,10,883.93,41,Credit Card,Delayed
ZOM8B66935E,24-04-2026,07:28,KFC,Ice Cream,962.62,28,693.09,30,Credit Card,Cancelled
ZOMAF9B64BA,29-04-2026,06:23,Cafe Coffee Day,Noodles,1056.06,36,675.88,64,Credit Card,Cancelled
ZOM123C5051,17-04-2026,16:26,Haldiram's,Biryani,1453.45,12,1279.04,70,Credit Card,Delivered
ZOM7669BE29,21-04-2026,15:55,Barbeque Nation,Burger,632.27,6,594.33,33,UPI,Delivered
ZOM8ADEC1D0,09-04-2026,14:57,McDonald's,Pasta,828.43,27,604.75,67,Debit Card,Cancelled
ZOM5E82DB06,30-04-2026,00:26,Pizza Hut,Pasta,193.49,32,131.57,39,UPI,Cancelled
ZOM9C11776F,08-04-2026,00:20,Burger King,Biryani,1404.54,21,1109.59,17,Credit Card,Cancelled
ZOM24670086,23-04-2026,04:48,Haldiram's,Pizza,1093.64,28,787.42,20,UPI,Cancelled
ZOM54324150,07-04-2026,04:35,Barbeque Nation,Coffee,1417.51,38,878.86,22,Credit Card,Delivered
ZOM75EBEB43,10-04-2026,03:03,Haldiram's,Noodles,449.05,40,269.43,19,UPI,Cancelled
ZOMEC9F71E4,20-04-2026,17:01,KFC,Biryani,992.1,36,634.94,33,Debit Card,Delivered
ZOME43FD894,20-04-2026,11:15,McDonald's,Ice Cream,907.52,11,807.69,38,UPI,Delayed
ZOM6800CD1E,18-04-2026,16:50,Domino's,Coffee,1483.9,35,964.54,70,Debit Card,Delivered
ZOMFAB7381D,21-04-2026,12:23,Pizza Hut,Burger,470.04,1,465.34,37,Cash,Delayed
ZOMD821CC80,22-04-2026,20:06,Burger King,Pizza,1184.67,21,935.89,37,Wallet,Cancelled
ZOM92E62CBF,27-04-2026,20:11,Cafe Coffee Day,Biryani,1265.93,29,898.81,66,Cash,Delivered
ZOM335B3D2D,23-04-2026,14:02,KFC,Pizza,524.95,2,514.45,35,Credit Card,Delayed
ZOMB71004BD,13-04-2026,17:30,Subway,Fries,469.57,12,413.22,70,UPI,Delayed
ZOMFAC1F943,11-04-2026,08:07,Biryani House,Noodles,1223.09,27,892.86,39,Credit Card,Delivered
ZOMB84BC7EF,16-04-2026,22:31,Subway,Burger,626.94,33,420.05,61,Debit Card,Delivered
ZOM53399F4C,14-04-2026,19:52,Pizza Hut,Burger,369.03,18,302.6,20,Credit Card,Delayed
ZOM2B5C03D6,10-04-2026,09:28,Burger King,Noodles,951.62,27,694.68,37,Debit Card,Delivered
ZOMACB1D845,24-04-2026,11:39,Domino's,Burger,1497.45,17,1242.88,57,Debit Card,Cancelled
ZOMEB5F2665,17-04-2026,23:43,Burger King,Paneer Tikka,340.78,1,337.37,58,Debit Card,Delivered
ZOMA2A5AC64,05-04-2026,02:15,Pizza Hut,Coffee,1194.35,23,919.65,51,UPI,Delayed
ZOM03519972,05-04-2026,21:28,Cafe Coffee Day,Burger,1429.38,23,1100.62,51,Cash,Delayed
ZOM27A22F19,12-04-2026,12:20,McDonald's,Pizza,1016.39,15,863.93,62,Cash,Cancelled
ZOM448BF4DE,17-04-2026,12:58,Subway,Noodles,895.11,16,751.89,28,Wallet,Cancelled
ZOM8929CB89,23-04-2026,15:12,Cafe Coffee Day,Biryani,289.24,4,277.67,60,Debit Card,Delivered
ZOM9EB73DA3,26-04-2026,21:54,McDonald's,Ice Cream,1481.47,22,1155.55,49,Credit Card,Cancelled
ZOM9F5233EA,28-04-2026,05:45,Burger King,Fries,1099.2,40,659.52,47,Cash,Delivered
ZOMBA4269AB,07-04-2026,04:15,Pizza Hut,Ice Cream,1210.71,1,1198.6,51,Credit Card,Cancelled
ZOM07C7C94B,26-04-2026,17:08,McDonald's,Sandwich,964.49,5,916.27,40,Debit Card,Delayed
ZOMCAE9ABCE,14-04-2026,13:52,Pizza Hut,Burger,913.36,8,840.29,43,Debit Card,Delayed
ZOM8B3CEBC1,17-04-2026,11:08,Haldiram's,Biryani,1331.59,35,865.53,64,Cash,Cancelled
ZOMA9F5D829,17-04-2026,01:53,Subway,Biryani,291.34,9,265.12,25,Credit Card,Delayed
ZOMBA161152,08-04-2026,11:33,Subway,Pasta,1355,5,1287.25,55,Wallet,Cancelled
ZOM803D490C,05-04-2026,20:19,Barbeque Nation,Biryani,967.91,5,919.51,52,Wallet,Delivered
ZOM75C4EB7A,06-04-2026,21:39,Pizza Hut,Paneer Tikka,1114.47,38,690.97,17,UPI,Delivered
ZOMB4FAE3C6,02-04-2026,20:49,Haldiram's,Coffee,915.94,13,796.87,54,UPI,Cancelled
ZOMBC284735,29-04-2026,20:34,Cafe Coffee Day,Pasta,519.75,19,421,66,Debit Card,Cancelled
ZOMC784707B,15-04-2026,02:44,Biryani House,Noodles,202.68,28,145.93,44,Cash,Cancelled
ZOM79EABF1F,20-04-2026,04:20,Pizza Hut,Coffee,1308.85,20,1047.08,23,Credit Card,Delayed
ZOM91E72030,18-04-2026,03:20,Subway,Noodles,453.6,7,421.85,30,Cash,Delivered
ZOM4C394774,02-04-2026,09:24,KFC,Biryani,1312.55,26,971.29,67,Credit Card,Delayed
ZOMA1CF79F8,24-04-2026,10:12,Barbeque Nation,Noodles,1173.11,31,809.45,46,Credit Card,Cancelled
ZOM43CDB169,01-04-2026,02:25,KFC,Paneer Tikka,817.51,15,694.88,37,UPI,Delivered
ZOM527B55FA,10-04-2026,15:38,Subway,Ice Cream,1337.63,30,936.34,15,UPI,Cancelled
ZOMD685B458,05-04-2026,08:46,Pizza Hut,Pizza,624.77,25,468.58,40,UPI,Delayed
ZOM11EF7FC1,18-04-2026,06:23,Biryani House,Ice Cream,883.45,4,848.11,43,Wallet,Cancelled
ZOM89977F1C,27-04-2026,19:43,McDonald's,Coffee,963.24,8,886.18,38,Credit Card,Delayed
ZOME51950DA,12-04-2026,04:12,Barbeque Nation,Pizza,951.4,25,713.55,17,UPI,Delivered
ZOM0E02D555,23-04-2026,10:51,Burger King,Paneer Tikka,773.77,29,549.38,47,Cash,Cancelled
ZOM5314C825,30-04-2026,19:20,Subway,Paneer Tikka,344.25,39,209.99,36,Wallet,Delayed
ZOMC74F58F6,18-04-2026,15:45,Domino's,Fries,896.84,30,627.79,36,UPI,Cancelled
ZOM28F496BF,19-04-2026,09:50,Domino's,Paneer Tikka,1360.3,40,816.18,45,Credit Card,Delayed
ZOM01ADFEDF,26-04-2026,18:36,Haldiram's,Noodles,434.01,3,420.99,25,Wallet,Delayed
ZOME7D8E569,24-04-2026,19:49,KFC,Pizza,1280.81,9,1165.54,51,UPI,Delivered
ZOME514279A,01-04-2026,14:20,KFC,Coffee,697.92,26,516.46,47,Wallet,Cancelled
